name,screen_name,followers_count,friends_count
Anant Patil,anant1008_t,63,232
Sakshi,SakshiBiradar,7,147
Jitendra Yadav,JShrawasti,57,631
Rohit Sanghi,Rohitsanghi1,51,66
Ashish kachawa,samvitashish,552,1625
I Am Gorakh,AmGorakh,1,9
Lav Ahuja,lav_ahuja,49,138
Kim Singh,kim_singh,972,3047
Dr. Gaurav Gupta,DrGauravGupta11,9,109
Lashkare Sv,SwapniLashkare,46,790
JAY SHRIVASTAVA,JAYSHANKAR18,246,2230
Moolar.brn,moolar,8,168
Animesh Jain,Animesh_India,121,1815
Abhi Wankar,abhi_wankar,8,303
sheshaprasad,sheshaprasad3,0,20
Vikas Kumar,VikasKu88723447,12,94
Bhaktee Care,BhakteeCare,259,1418
social service  Mani,Logulogu946Gpr,507,5003
Thiru,cf1cbce5caed47a,3,8
dineshjajda,dineshjajda2,3,9
kyle gershbain,GershTO,236,456
Anil kumar,anilkumar854,268,4988
Chaitanya,KVVKChaitanya,2,60
Chaitu,Chaitan46901169,0,18
Kapil Pawar,kapilbpawar,33,176
Ranjeet Mehta,Ranjeet143Mehta,23,116
SHAILESH DALVI,shailu1225,5,17
Rushad Shah,shahrushad,16,41
Chetan Shetty,ChetanShettyPNQ,7,52
Manish,manish20gupta,13,56
Amit Agarwal,amitagarwal2111,32,12
Nitin Pathak,Nitin3Pathak,43,683
Shubhammunde91,Shubhammunde911,1,109
:: ₹ ::,market_digger,11,236
Chetan KR,Chetan_KR_7007,30,679
Amit Sharma,AmitSha91725253,88,381
Sujai,SujaiSugathan,2,199
Ramesh Kumar sah,RameshK95830695,152,3842
Anju Organic Life Solution,anju_organic,167,1794
सशक्त भारत,RaiPrshant,18,428
No-one,_noone12,74,240
Ashwani Garg,ashwanigarg1976,0,17
Mandar Panse,MandarPanse1,1,115
rashmi jain,JainRashmi11,14,591
Rajaram Kadam,Rajaramkadam11,49,851
TVS Mahindra Cochin,mahindra_tvs,3,141
Keyur Sadrani,KeyurSadrani,2,58
Manjunath Manju,Manjuna90378262,0,109
Raj Sekhar GR,GRofficial78,15,134
Maheswaran TheKingmaker,MaheswaranPM,156,336
Sameer B Madhekar,SameerMadhekar,8,340
Surya ⚽ 🇮🇳,iamsuryaprasath,282,1925
Reddicherla.Dhanunja,dhanur51,109,3130
Aftab,SportyAftab,59,48
Sanjay Sayaji Gamre,GamreSayaji,4,187
Mary James,MaryJam62637197,545,4982
sudheer,sudheer_amudala,18,190
Mandar,Mandar66312932,0,6
Sujay Bhalchandra,Sujaybhalchandr,16,30
Rishi@anediblebrain,25nov1989,47,529
Naresh Thakur,thakur83,590,2841
Ankur Khare,Ankurkhare143,4,85
SunilKumarPatidar,snl_patidar,7,311
Manish Baid,manishkbaid,5030,777
Richa,richakhaitan16,1,154
Himalay Verma,Himalayv,73,128
Koeyli,koeyli_jaluka,55,71
Santhanam2912,Santhanam29121,4,44
Santhanam2912,Santhanam29121,4,44
Shubham Shukla,Shubham04348509,62,1507
Ajay S.,ShimpiAjayR,84,2468
Saibal Choudhuri,ChoudhuriSaibal,0,2
Rishabh Sanghi,Rishabh_Sanghi,53,59
PRASHANT SARAF,sprashant2107,277,4991
Chirag Grover,Chiragg31,10,93
Sudhir Patil,SudhirP93054365,2,72
D&A MOTO,dandamoto,1,123
MarQuis Trill | Cryptocurrency Investor,6BillionPeople,4620160,4454007
Santosh Tale,TaleSantoshk,18,125
Love30ka,love30ka,1504,4885
Dinesh Agarwal,DineshAgarwal74,26,68
Ravi Kiran,RaviKir93334127,3,173
Paikar Sayyed,SayyedPaikar,13,75
Tarun Bansal,tbansal2,14,44
Atul,Atul52319782,0,94
SUBHASH KUMAR SHARMA,SUBHASHKUMARSH9,295,675
Alind Singh,AlindSingh4,6,228
Rajesh Vaghela,RajeshV05037041,0,11
Prashant Burade,PrashantBurade1,345,2622
Narendra Kumar,Narendranuta1,4,207
Thakor Alpesh,alpeshBadboy,9,268
"Diversified Corporation,WorldWide",diversifiedorg,199,5000
P S Saini,pssaini1,1925,2002
Amit Lale,amitlale007,96,228
puneet kumar,puneetyoyo22,7,111
Himanshu Rathore,Himansh91899594,421,3587
Stockguru123,Stockguru1231,89,1476
Surya,suryaprakashn13,2,13
Ira Gilani,iragilani,227,399
Shanmathi Sivakumar,Shanmathi_Siva,22,221
Avinash Rai,Avirai,115,420
Anitha Reddy,anithareddy4545,93,208
Kiran chaudhari,Kiranch87415332,86,948
Ramesh Lima,LimaRamesh,128,1544
Vivek Jadhav,VivekJadhav1987,141,645
Ratna,ratnaj23,1,21
Rahul Kataria,Rahulvkataria,7,277
Kishan1608,Kishan160892,4,90
Amar 2470,Amar58533792,2,18
Prime Shares Estate,PrimeSharesEst,12,108
Chetan Baviskar,ChetanBaviskar8,26,606
Pramod Chauhan,TravelWithPC23,2272,1331
Team Performance 🚘,TeamPerformanc3,8,177
Harshal J. Shah,harshal999,98,1046
Deven Srivastava,devenshyam,758,2965
jaydeep,ahirjaydeep78,18,124
Garima Jhamb,jhamb_garima,36,91
Ajit Singh Naru,AjitSinghNaru,2,7
Jithesh kumar Kajampady,JKajampady,99,5001
vikram kadian,vikramkadiaan,247,815
Jatin Kumar,JatinKu83253750,127,2398
Aditya Deshmukh,aditya_mafoi,96,51
Kiran Pandhe,KiranPandhe,3,11
balram mishra,balrammishra,55,227
Manmath Biradar,BiradarManmath,214,984
AditIndian,aditindian,25,147
Atul Joshi,AtulJos68036088,2,10
Bal Yadav,Bala2285,54,542
Ashutosh Singh,ashuu_786,210,589
Rajiv Gupta,RajivGu62652463,3,306
Alpha1,Alpha184134303,721,4956
Mary Author,authormary1,372,4089
Basagonda Jevargi,BasagondaJ,1,26
Metrotek Financials,Metrotekfin,633,3601
Santosh Rodrigues,santoshrods,5,26
Krishna,Krishna50469473,15,226
Girish Porania,porania,160,786
Sujeet Kumar,Sujeet0948,6,157
साँई प्रा0 आई0टी0आई0,saiiti2012,18,259
Gowtham,GowthamGounder1,20,1225
Gaurav Kumar,GauravPromotion,6189,14741
Shivam Chandra,schandra_in,3,32
Venkatesh Vangara,VenkateshVanga5,1,119
Vidya Darandale,darandale_vidya,3,89
Soumen,Soumen99493998,4,141
Md Asif,MdAsif22637,8,13
Chiranjeev Kalra,ckalra,83,280
Omkar Dautpure,ODautpure,4,37
Shiva,Shiva02233335,8,81
Prateek Tikia,prtikia,14,113
Omkar Kshirsagar,23071081,33,42
Mohammed A. Petiwala,m_petiwala,113,779
Rupesh Yadav,RupeshY31071998,1,29
Avinash n,AvinashN95,15,29
Anjul,Anjul1202,10,26
Himanshu Saroj,HimanshuSaroj13,284,4932
B Venkat Raman Rao,BVenkatRamanRa2,3,35
Thakur Om Prakash,OM_PRAKASH1988,12,83
Intellinet Systems,IntelliParts,508,1157
Arun,Arun72970649,76,1227
vivek,son12034874,6,291
UP ke Lala,Nawab_Unleashed,344,597
SUBHAJIT MONDAL,SUBHAJI69369230,8,118
Kamlesh Ramtekkar,KARamtekkar,26,308
MotoAdda,MotoAdda1,147,1131
MCE,Mahindra_CE,1015,123
Anuj Numaan Rai,AnujNumaan,78,365
Imran Mustufa Memon,ImranMustufa,99,2494
Abhishek shukla,Abhi995695,122,231
Vishbjeet Kumar,VishbjeetK920,293,4192
Satish Lovely Mishra,d2f0d8f1ad4445c,35,102
Maryada Yenkanna,MaryadaYenkanna,0,837
Vishal Awasthi,AwasthiVishal,17,75
Muthukrishnan,Immuthukrishna,26,372
Jagannath Burli,JagannathSB5,1,5
Dr. Niranjan Nirmal,DrNRNirmal,60,90
Arun Prasad .M,ArunPrasadM9,0,18
Jafri,Jafrii,304,264
Indrajit P Benake,BenakeP,8,53
Ranjm,rmokashi267,8,107
Arpit Bhargava,arpit_bhargava,137,272
Dharesh,Dharesh28780562,1,2
Venkatesha Prasanna,JvPrasanna,80,1556
धिरज सोनवणे,DCSONAWANE,37,50
R K VASHISHT,RKVASHISHT3,3,138
Rupesh Ranjan,rupeshnitjsr,5,49
Chatrapathy,Chatrapathy6,28,4991
Vasundhara Kalyan,Vasundharakotte,45,800
sudhakara chakravart,chax1976,12,27
Vignesh SVii,SviiVignesh,9,349
दीपक शुक्ल,deepaksuklaji,74,232
Manoj Lohiya,Rab_di_gaddi111,4,386
panse_parag,ParagPanse,0,27
Manish,Manish86338475,32,709
Tushar Khandelwal,tushar_irockyou,9,33
Shiva Bhardwaj,shiva9315,42,131
SAGAR RAHINJ,sagar_rahinj99,25,807
shobhit shukla,shobhitpandit89,7,31
Ali GÜLLÜOĞLU,gllolu_ali,91,308
Chirag Jain,Chirag_CUJ,18,78
Kumara Guru,KumaraGuru10,85,2490
A c t o r Manoj Viju parmar,manojvijuparmar,612,4981
Ramaswami,gsramaswami,478,4998
Ravi Pal,RaviPal37200235,4,159
Surendra Singh,SurendrasRawat,25,498
Lokesh Jat,LokeshJ60022679,89,1333
Swapnil Pansare,swap2151,30,62
Rajesh Mandhana,mandhana_rajesh,1,14
Amit Jahagirdar,AmitAJahagirdar,5,16
Manakh phukan,Girsuk,0,15
p,RautYatil,1,145
Kleber DePaulo,KleberMP,298,174
Pushpendra  Kumar  Rastogi,PRastogi1963,284,1425
Prasanna,prasannapahade,157,130
Moolchand Jangid,MoolchandJang14,9,121
Milind Mishra,milindmishra87,33,177
Ayyub Maner,AyyubManer1,1,79
Sanjoy chakraborty,Sanjoyc23136108,10,204
Santhosh,gjsanthosh,1,45
Daxesh Tripathi,daxeshca,23,149
Abdul khabir,Acki_shakh,423,4382
vivek kumar,vivekkumar8142,20,200
Amit Pirgal,amitpirgal,162,2107
Jio,Jio75109571,51,894
Bharath Gopu,bgopu1973,812,1057
Namdev Patil,namdev288,5,28
Dattatraya Nikam,DattatrayaNikam,5,19
nipun kashyap,KashyapNipun,7,34
Veera Prihti,VeeraPrihti,11,39
venkatesan,venkate27014607,0,14
Kartikay Khattar,KayKhattar,0,39
Salil Goswami,Salilgoswami,112,537
Jukka Holappa,jukkaholappa75,50,201
Ramesh,Ramesh26163835,1,49
Meenu Bagla,meenubagla,3133,562
Brij,Brij14325999,0,85
bhupesh naryan,BhupeshNaryan,220,1876
gf30,tu_fukuda,716,3527
Jagan,Jaags,9,17
Vikas Nadgir,VikasNadgir2,4,20
VIJAY,VIJAY67624276,0,9
Debasis Roy,debasisdebroy,59,2059
Raghunath Pradhan,Raghuna72445487,430,3679
sankar ghosal,sankarnghosal,27,163
raghu bala,raghu_bala,106,3571
S K,carlover_123,5,252
Al Ameen,AlAmeen58381416,17,534
Aamir Ahmed,Aam1rAhm3d,17,190
Abhijit Kahu,kahutheking,2,91
Shankar Arnady,sarnady,47,320
Khalid Butt,khalid_butt1,113,285
FriendshipFoundation,projectkhushi,73,1828
The Prakriti Trust,Prakrititrust,420,1765
Pritish,Pritish02150274,29,750
Bhushan Udar,bhushan_udar,36,164
anuj Verma,anujverma81,0,31
Pawan Nareri,NareriPawan,1,7
MP,MP_Speak,37,184
Rajendramane,Rajendr63499880,1,48
Lakshmi Kaul,KaulLakshmi,2217,1891
Sandeep Singh,Sandeep93574993,18,259
sameer Dhanawade,sameertmumbai92,3,22
karthikrishnan,karthikrvkk,31,594
Mahendra Kumbhar,MahendraKumbh10,38,1008
Sharath Chandra,Sharuborker,9,25
GIRIDHAR,GiridharBv9,24,384
anurag chaturvedi,anuragc32252585,4,120
Shashank Patwa,ShashankPatwa26,69,176
Shashank Patwa,ShashankPatwa26,69,176
Suresh J Naidu,jaysureshnaidu,174,454
Avdhoot,Avdhoot_Sant,0,88
Suraj Kumar Bairwa,SurajKumarBai11,5,165
Vande Bharati,Vandebharathi,674,2298
paritosh mondal,paritosh9851,4,321
Himanshu Goyal,Himansh43095100,15,149
Alok Pandey,aloxhere,64,210
Deepak Kesharwani,Dkesharwani,14,53
MM Kannan,MMKannan31,0,53
Parag Panse,panse_parag,1,45
刘向黎 Liu Xiangli ( Mr. ),c9jVOh4DIg4K6c9,275,2086
Shankar Tara Entertainment,ShankarTaraEnt2,32,319
कुँवर घनश्यामसिंह राघव,kunwargsraghav,30,162
Narasimha Rao Ingilela,RaoIngilela,1,188
Vishwajeet Kumar Singh,Vishwaj80033077,251,4994
UDHAYAKUMAR.R,UDHAYAKUMARR90,944,3880
vikaskumar,vikasror,34,552
Amol Ashok Gorde,gorde_amol,384,4961
K.Ganesh,ganeshk03,6414,548
Atin Moulick,AKMOULICK,6,52
KNVRL Sarma,sarma_knvrl,5,27
VIRENDRA SINGH SISODIA,VIRENDRA_SHOBHA,611,4990
Saurabh Kumar,Saurabh98650793,27,694
Ramakant Dwivedi,RamakantDW,17,84
Shivendra Pratap,Shivend22386646,4,73
Rajeev Rellan,rajeev_rellan,10,3
Swas & IT,SwasGroup,52,203
Manish Bakshi,ManishBakshi24,2,68
ASLAM KHAN      *A.K.ASSOCIATES INDIA*,AKAINDIA1,26,164
Viraj,viraj_,90,1514
yogesh kumar,yogesh_164,7,371
DINESH WAGH,DINESHW52007905,2,25
Pleasure Ellis,PleasureEllis,1682207,435314
Amitabh Chandra,amitabhchandra,24,107
Anand Pillay,AnandPillay18,3,168
manivannan,manivan43696433,84,189
Baristaonbike,baristaonbike,17,144
Shilash Bharne,BharneShilash,0,72
E S Niranjanakumar,SNiranjanakumar,79,924
Vinayak Shinde,Vinayak_bs,230,455
Shantanu Kumar,shanrai1404,53,239
Hemraj Tewatia,Hemrajtewatia1,147,503
Yasheshwar Prajapati,YasheshwarP,58,152
Shah Saudaagar,saudaagar,24,27
Chandrashekhar M.,Chandra56647815,4,12
vijayap,vijayapavitra,66,476
Akshay Vora,akshaysvora,185,294
Mukesh,Muka428073,826,3852
Sunil venkatesh,Venkateshsunil6,67,886
rajendraveluvali,veluvaliraj,64,923
Cheriyan K M,Cheriyankm,35,478
Vaibhav Ghumare,vaibhav_ghumare,30,393
Ck,knitexbdltd,389,1801
Suresh D Nair,sureshn123,225,166
Sathish,sathish24041990,17,206
Saddam shaikh,Saddams73142509,1,66
Nikhil Gawde,NikhilGawde3,0,5
Felix Medina,VediaGlobal,91,1215
Suresh Pilaniya,skpilaniiya,35174,32897
Mukesh shri😘😘😘,Mukeshshri3,24,526
Narendra Singh Jhala,NarendraSjhala,189,960
"Rim Country Tractor, LLC",RCT_LLC,6,40
अंकुर शर्मा वशिष्ठ,Ankuraarav2013,4,113
*Girish,Girishdisawal,216,436
Rakesh Arora,RakeshA37752961,45,548
विनोद दास,m0ceRVAk9kwWua9,62,229
Josué Osorno,osornojosu,45,467
Punma Ram Arya krantikari,AryaPunma,124,1412
Soumyadeep Kuila,SoumyadeepKuil1,7,445
Shekhawatpravinsingh,Shekhawatpravs,49,109
Deepanshu Mewati,DeepanshuMewati,7,60
harjithgururaj,harjithguru,90,220
Indroneil,the_indroneil,429,681
Sendhil,Sendhil65432389,18,849
PRAVEEN CG,PRAVGOWDA,83,426
Chandradeep Singh,chandradeep_cs,5,47
Lokesh Yadhav,loki486,69,630
Karthik raja,RajiramRaja,9,180
दै. झुंजार सेनापती,zunjarlive,57,1100
DIVYANG R PRADHAN,divyangpradhan,222,5001
Ravin Desai,ravin1sky,1883,2693
Bhavadharan,bhavadharan7,34,827
Abdullah S Khan 🇮🇳,ASK1981,75,1627
V.Govardhan Reddy,Go_VardhanReddy,192,4693
Nikhil Asnani,NikhilAsnani,185,2797
chinmay Bhalerao,chinmayBhaler11,3,63
Harsha R,HarshaR45,8,4
Share Manthan,sharemanthan,144,69
Surendra Dhote,DhoteSurendra,1372,4773
Banti Dad Kushwaha,DadKushwaha,292,2244
Sasikumar/சசிகுமார்,trsasikumar,72,4994
Bharat Gharia,BharatGharia,8,133
ARUN PRASAD HARIHARAN,HArunPrasad81,1,11
Mandar Dixit,dixitmp,99,284
gurudatta,GuruBodake,1,31
Megha Asha Bhargava,meghabhargava,92,1081
Manjunath Nelli,mknelli21,28,294
pratik vasani,pratik1605,83,291
Ashish Thakkar,Aashish_HR,4,180
AutoKartz Automobile,autokartz,63,271
Sachin Gurwe,SachinGurwe,434,3546
Ravi Dasar,RaviDasar,46,868
sandip tambe,sandiptambe17,0,25
Abhay Dixit,AbhayDi75704657,1,12
Sandeep Mahale,SandeepMahale01,5,72
Shailesh Vaidya,shailesh292601,19,161
Sandra Choi,selectdetroit,61,141
Manish Vanpariya,manish09ec366,5,209
Pradip Singh,pradipsingh1987,9,100
Binaifer Jehani,JehaniBinaifer,131,237
Abdulla Al Hamli,AbdullaHamli,155,899
Vikash Singh,VikashS73941541,248,3158
SONU YADUVANSHI,SONUYAD18964312,2,171
Suhas Borate,SBorate1,17,191
Jaisimha Rao,jsrsimha,80,355
Ritesh Gupta,guptaritesh197,26,139
Rajesh Pandey,rajeshpandeyRP,146,458
Kiran rakhe,rtnrakhe,3,7
Harish Chavan,HarishChavan19,4,12
Jayant Mhatre,JayantMhatre83,6,27
Rajeev Shrivastava,RajeevS46874220,6,43
Sawan,Sawan762090151,18,316
Subandhu Arya,subandhuarya,33,77
Sudhanshu Kulshresth,sudhanshuk07,18,186
Navneet Chaudhari,Nacneet01,13,40
Vivek agrawal,Vivek061073,1,64
Hendrik Decramer,DecramerH,56,74
Bharat Kalled,BharatKalled,5,66
Vipin Sonje,vipinsonje,9,26
Clament John,goForCJ,47,355
achyut mishra,achyutmishra,123,137
Mansuri Aadil,mansuriaadil450,26,562
KAUSHAL KUMAR AMAR,KAUSHALKUMARAM2,14,336
Santosh Jaiswal,santosh99023579,25,192
MURALIDHARAN D,MURALIDHARAND8,10,135
Nicky,LAMMA_Nicky,724,1604
NIMMALAPUDI,nsathiraju,3,73
Anurag Vijay,dashinganurag83,232,404
Gurmeet Singh Dang,GurmeetDang,3,51
Shay Klusmeyer,ShayKlusmeyer,57,194
Aniket Jain,autoinfo_aniket,31,117
Abhay rathi,11abhayrathi,19,47
Niraj Singh,Fr_Niraj,215,432
VAIBHAV V. KOLAPKAR,kolapkarvaibhav,7,26
Hemant M Patil,HemantMPatil5,2,42
Nikhil Baijal,baijal2011,73,252
Jayant Jayaram,jayant_jayaram,3,20
mery anky,meryanky,236,1257
Amit Bhatnagar,AmitBha18220364,1,31
Sami Seppala,seppala_sami,5,28
Sanjana sanju,Sanjanasanju143,89,393
IFEGHY_MAHINDRA,ifeghy,3,63
ram,ramjeevan2011,16,151
Shashank Vashishtha,DMishy,313,1220
Akanksha Jain,Akanksh56106198,0,8
Mahendra Agarwal,Mahenag030782,74,512
Sandeep Chaudhary,Sandeep42812195,0,29
Bhera Dass,BheraDass,454,2906
Innovation Wire,innovation_wire,123,465
OJASWI ENTERPRISES,Ojaswienterpris,400,4981
neminath chougule,neminathchougul,6,300
kk,kkonnet,72,565
Satish Kumar,skrz2014,66,2385
Maxamed Cabdilahi,Maxamed61833434,50,1138
Daivesh Ghedia,Daivesh_G,44,1055
Ateeq,DumpyAteeq,167,3090
Eric Mougin,eric_mougin,1,15
RAJNI CHANDAN,R_Rajnichandan,24,454
Anant Umesh Doke,DokeAnant,10,362
Prakash Chand,Prakash95562823,707,4933
RAMAKANT NAVGHARE,ramakant1527,19,693
Vanjaresameer,Vanjaresameer1,3,57
Kauntey Kudtarkar,kaunteyk,133,1486
Pragna,prags810,12,95
Ravikiran shinde,Ravikiranshin13,110,757
Anupam Tiwari,Anupam08Tiwari,19,271
Surabhi Deshmukh,DSurabhi247,21,161
Arindom Das,ArindomDas13,29,60
Swap,nirvanaa_peace,91,263
Ramchandra Ranwa,RamchandraRanw3,0,4
#free kashmir,nazarulmir,271,575
Sandeep Virk,virksandeep,543,747
Ketan Dobariya,ketanmd,11,118
Projwal Kumar David,ProjwalzSpark,48,115
Karan Kabra,iima_karan,52,158
Y&G Group Companies,YandGTech,264,1054
Rushi Bardapurkar,rishi_9919,12,160
Chandra Sekhar Yarla,Sekharychandra,2,19
Rasesh Joshi,RaseshJoshi1,5,31
MANOJ K JHA aka MANU,manojgjha,875,3110
Arun Mishra,ArunMis35207164,1,8
Nafis khan,gulkhannnl,9,152
Joseph Philip,JosephP23226145,1,10
Ghanshyam dhankhara,dhankhara101,336,1352
Agricom Africa,AgricomAfrica,94,268
RishabhRatna Agrawal,p11rishabhr,27,335
Dr. Ajit Kumar Kar,ajitkar5,313,108
Rajeev Dhiman,rajeevdhiman22,0,39
Vigneshwaran,Aadhi_Tamizhan,21,964
